,tweet,still_exists,in_english,sarcasm,additional_comments,antisemitism_rating,disagree_with,sentiment_rating,calling_out,is_about_the_holocaust,ihra_section
0,"Truth the racist stereotyping is ridiculous. By her nazi logic orthodox jews, catholic nuns, and the Amish are terrorist in training. \nThe willful ignorance of that idiot woman is only topped by the morons who tune in and believe her. https://t.co/Od3ENeauqZ",True,True,False,No comments.,1,False,4,True,False,13
1,So 80% of American Jews are disloyal? Sounds to me like the old anti-Semitic trope questioning the loyalty of Jews. https://t.co/CEfWI0m02j,True,True,False,Tweet author is Jewish.,1,False,3,True,False,13
2,I wish all Jews around the world a happy and peaceful new year this Rosh Hashanah. I also want to reassure the Jewish community in the UK that the government will continue to stand alongside you to tackle antisemitism wherever it rears its ugly head https://t.co/QwZZ7hkav8,True,True,False,No comments.,1,False,5,False,False,13
3,A modern example of \if German Jews had guns there'd be no Holocaust\\n\nPalestinians - in an ever-shrinking colonized open-air prison they can't leave - in #GazaUnderAttack are demonized as terrorists for resisting w/even rocks\n\nshows how insincere the gun industry shills really r,True,True,False,No comments.,4,False,2,False,True,12
4,"23 August 1942 | After the selection of a transport of 1,000 Jews deported from #Drancy camp in occupied #France 892 people were murdered in gas chambers of Auschwitz II-Birkenau camp.\n\nOne of them was Dora Gottfried, a daughter of Chaya and Selig.\n\nShe was 12 years old. https://t.co/nKXWY52ceE",True,True,False,Published by Auschwitz museum.,1,False,5,True,True,13
5,“Israel president says Jews unsafe in Germany after kippah warning” https://t.co/aVVgGIkaG3,True,True,False,No comments.,2,False,4,True,True,13
6,"#auspol \n\nPerfectly ok though.\nIt's us racist Christians, Jews and culturally developed 1st world people that are the problem.\nFMD.\n\nhttps://t.co/FHnJDRvyLj",True,True,False,Tweet critical of Muslims.,2,False,4,True,False,13
7,@IlhanMN How can you speak of moral clarity you should be removed from office for your comments regarding Jews and then your low regard towards 9/11 is a moral low the people of this country still remember that day as more then \something \,True,True,False,No comments.,2,False,4,True,False,13
8,"The Bosnian Muslim scholar who saved the Sarajevo Hagaddah and helped Sarajevo's Jews during the WW2.

There's also a wonderful novel by Geraldine Brooks, ""People of the Book,"" which takes the Sarajevo Hagaddah as its main motive.  
https://t.co/ThNsLAEmbE",True,True,False,No comments.,1,False,4,False,True,13
9,"The GOP-Nazi Party, which has already incited multiple terror attacks against American Jews, is diving further into antisemitic demonization and conspiracy-mongering as impeachment accelerates. Any Jewish leader that doesn’t combat and condemn this is helping them dig our graves. https://t.co/dcIg1rx8Pp",False,True,False,Tweet not shown.,3,False,3,False,False,13
10,LOTS of Jews do not support the Neocon Fascist Likudnik supporters who are currently leveling bogus allegations of \anti-semitism\ against Jeremy Corbyn and the Labour Party\n\nThese include opponents of:\nNetanyahu\nIllegal Settlement Building\nOccupation\nApartheid\nNeocon Wars\n\nEHRC https://t.co/JoYPCSXL6r,True,True,False,3.1.9 also applicable.,4,False,1,False,False,10
11,"“The thousands of ordinary Jews, Irish dockers, Labourites, Socialists, Communists who gathered here – our parents, grandparents and great grandparents –working across racial and political lines stood together to say: no to fascism.” #NoPasaran #CableStreet ✊🏽 https://t.co/IJdu93f3Gy",True,True,False,No comments.,1,False,5,False,True,13
12,"""This Jew will replace you!"" -- a reference to the Charlottesville neo-nazi chant ""Jews will not replace us."" https://t.co/u0M1Juhi1v",True,True,False,No comments.,1,False,4,True,True,13
13,"“If we were white — if we were Irish, Jews, Poles — Nat Turner would be a hero. If a white man stands up and says, ‘Give me liberty or give me death,’ the whole world applauds. If a black man says the exact same thing, he is treated as a criminal” James Baldwin https://t.co/y4QHaqSMVd",True,True,False,James Baldwin had a controversial relationship with Jews but outside clip's purview/context..,2,False,4,False,True,13
14,"Doing interfaith work with Neturei Karta as representatives of Jews would be like doing interfaith work with the Westboro Baptist Church as representatives of Christianity. \n\nAlso, the point of interfaith work is to go outside of your comfort zone, not confirm your perspective. https://t.co/il25XB1Ij3",True,True,False,Tweet author is a pro-Israel Chabad member. Neturei Karta does not recognize Israel as a Jewish state.,1,False,5,True,False,13
15,"Media: “Trump is islmaphobic and anti-Semitic!”\n\nTrump: “Violence against Jews, Muslims, and Christians must end.”\n\nIf the media reported the actual truth, our country would not be so divided today! #FixIt https://t.co/g1ZKxluzDW",True,True,False,No comments.,2,False,4,True,False,13
16,"@IVMiles I mean, have people *read* what Martin Luther said about Jews?",True,True,False,No comments.,1,False,4,True,False,13
17,"\During this holy season when Christians celebrate Easter, Jews mark the Passover, and Muslims prepare for Ramadan, we are reminded of how blessed we are to inherit the traditions of freedom and religious tolerance that have defined America from the beginning.\ https://t.co/UKBpHADmMq",True,True,False,No comments.,1,False,4,False,False,13
18,Ahhh the “disloyal jews” thing. https://t.co/W7MftLze9K,True,True,False,Soleded O'Brien's critique of alleged dual loyalty comments.,2,False,4,True,False,13
19,36/n Ahem! So please explain how being inspired from Hitler’s treatment of Jews did they kill Muslims in Gas Chambers? Rather I heard about ‘Direct Action’ in Bengal by Muslim league in which mass rapes &amp; murders happened. https://t.co/sE7afSX590,True,True,False,Jews are portrayed as victims.,2,False,3,False,False,13
20,Here's Donald Trump's visit to Republican Jews. cc @RJC https://t.co/2xgdK0GKJA,True,True,True,"Mixed. Condemns Trump's comments about Jews. However, picture shows Jewish (presumably GOP supporters) dancing in idolatrous way before Trump. Resembles Golden Calf parable.",4,False,3,False,False,9
21,"Finally got it right:Americans don't want vicious attacks on Jews, America, and our President anymore. No more voices of hatred.\n\nOmar:Attempts to ‘Mischaracterize’ Tlaib Are an Effort to ‘Eliminate’ Muslim Voices from Public Dialogue \nhttps://t.co/spujc8ZqXy via @BreitbartNews",True,True,False,No comments.,2,False,4,True,False,13
22,Trump’s outrageous accusation that most American Jews show “a total lack of knowledge or great disloyalty” is the most anti-Semitic thing he’s ever said. He owes an apology to the more than 6 million Jews in America—over 75% of whom voted Democrat in 2016.,True,True,False,No comments.,1,False,4,True,False,13
23,We are also American Jews.\n\nWe are profoundly outraged by the existence of concentration camps.\n\nWe are profoundly outraged by the entire detention and deportation machine.\n\nWe are profoundly outraged by Stephen Miller. https://t.co/JqiTFJxMfR,False,True,False,Inactive tweet.,3,False,3,False,False,13
24,"I claim the words Zionist/Zionism, it is my Jewish right. It's also the right of any others who believe Jews have the right to self determination in Israel.\n\nZionism/zionist is not a word to be shunned, or cower away from. It is a word we should own, and hold with pride.",True,True,False,No comments.,1,False,5,True,False,13
25,"Leading UK Rabbis have previously released a letter to repudiate the false notion that British Jews are against @jeremycorbyn and/or the @UKLabour . \n\n'Jews are faithful to G-d, seeking the peace of the country they reside in and respect their political leaders'. Read: https://t.co/w7qXf3Xj0t",True,True,False,The organization publishing this tweet does not recognize the State of Israel (UK version of Neturei Karta).,2,False,4,False,False,13
26,"\American Jews, including prominent figures like Naomi Klein, have signed an open letter in support of Minnesota Congresswoman Ilhan Omar. \nThe... https://t.co/unGM3cZGH9",True,True,False,No comments.,2,False,4,False,False,13
27,Who could have seen that the far right would turn on the jews? Who could have predicted this? Maybe everyone?  https://t.co/zTcBAp15v9,True,True,False,No comments.,1,False,4,True,False,13
28,"NYC, where the Jews effectively can't own firearms, shall henceforth be called ""Warsaw on the Hudson"".",True,True,False,No comments.,2,False,4,True,False,13
29,"@carrieksada1 @baalter ""Updated"" to include Hate in general, not anti-Semitism. Jews don't speak out and this is what happens.",True,True,False,No comments.,2,False,4,True,False,13
30,The Democrats who skip AIPAC are not friends to Israel or Jews. https://t.co/IpOa5sJioX,True,True,False,No comments.,2,False,4,True,False,13
31,"Jews had a prominent role during chattel slavery. Many of them owning slaves,including the slave ships. So how dare a Jewish/holocaust negotiator be against reparations for the Transatlantic Slave Trade. #Reparations https://t.co/LOYLjpTYZN",True,True,False,No comments.,5,False,1,False,False,9
32,"“When people of colour call out racism they should be listened to and supported.”*\n*But when Jews (who are always regarded as white, regardless of their skin colour or origins) call out racism they should be pilloried, threatened and accused of orchestrating a smear campaign. https://t.co/ePvJhG3jkg",True,True,False,No comments.,1,False,4,True,False,13
33,This thread is heartbreaking. Black Jews in the same Jewish communities facing antisemitic violence are forced to live in fear of their fellow Jews taking up anti-Black vigilantism. We have to fight antisemitism AND white supremacy in our community https://t.co/6qJk51fSAj,True,True,False,No comments.,2,False,4,False,False,13
34,"@RashidaTlaib Uh, this is NOT apartheid in Israel - this is your people deciding that Jews should not have a land where they have lived for thousands of years and starting this Bullshit BDS movement to try and stop them - I don't like Bill Maher, but when he's against you - I'll support him!",True,True,False,No comments.,2,False,4,True,False,13
35,Last Jews in South Sudan Finally Arrive in Israel https://t.co/jEOukHe0uT via @Algemeiner https://t.co/AhUNoKKy6n,True,True,False,No comments.,1,False,4,False,False,13
36,American Jews are Americans.  Shit this is scary. https://t.co/9fzfaUyWCC,False,True,False,Tweet not avaliable.,3,False,3,False,False,13
37,I liked a @YouTube video https://t.co/G9RAFtWqIX ISRAELI : Confesses Black Americans Are The Real Jews!!,True,True,False,No comments.,5,False,2,False,False,7
38,@aliinineash @americanzionism .Wait what?! “Palestine” was a fake pagan Roman name for Jews’ homeland. Neither “palestine” nor Jerusalem is even mentioned in the Koran. Not very Islamic.,True,True,False,No comments.,2,False,4,True,False,13
39,I am MUSLIM.\nChristians kill me in Iraq.\nBuddhist kill me in Burma.\nJews kill me in Palestine.\nHindus  kill me in Kashmir.\nAthesit kill me in New Zealand.\nBut still I am a #Terrorist.😒\n#Stop_Terrorism,True,True,False,No comments.,5,False,3,False,False,11
40,@CllrStuartT @MedwayLabour And the fact that these “anti-racists” were happy to throw Jews under the bus in the name of tribalism. That’s a key point in the debate.,True,True,False,No comments.,2,False,4,True,False,13
41,THEY\n\n- Criminalized people who hid Jews in their homes during the HOLOCAUST \n- Criminalized people who freed African slaves during SLAVERY \n- Criminalized people who stood up for equality and racial justice during SEGREGATION \n\nLEGALITY IS NOT A GUIDE FOR MORALITY! https://t.co/Qy4R1cGmJS,True,True,False,No comments.,2,False,4,False,True,13
42,"New York: Black guy stabs multiple Jews in the latest antisemitic attack by black perpetrators, and leftists respond by demanding an investigation into “white supremacy”.

Clown world.",True,True,False,No comments.,1,False,4,True,False,13
43,The train tracks leading to #Auschwitz meant death to Jews. For being Jewish. Europe lost 2/3rds of its Jewish population at the direction of Hitler. Hate starts with propaganda. It escalates into genocide. On  #HolocaustMemorialDay we remember all genocides past &amp; present. https://t.co/H4lXl65PrL,True,True,False,No comments.,2,False,4,False,True,13
44,WOW Iraelis are such “tolerable people”!! 😮😮 very classy indeed @tsmxo_ I guess telling Ashkenzi Jews they are not brown is anti Semitic now lmao why is everything anti Semitic? We have no hate for Jewish people. https://t.co/mwzK3KExVF,False,True,False,Tweet not avaliable.,3,False,3,False,False,13
45,"A growing movement of American Jews is mobilizing against U.S. immigration policy across the country. ‘We’re fighting for the soul of our country, for our very humanity.' https://t.co/K7CIJ65MnR",True,True,False,No comments.,2,False,4,False,False,13
46,"This justifiable angered the English people, what added more fuel to the fire is that with jews settling in England because of William. Christian boys were being found ritually murdered with their blood drained in England, this is the result of jewish ritual murder.",True,True,False,No comments.,3,False,1,False,False,9
47,I’m interested to see those exit polls after 2020. How many Jews are going to be voting republican this time? I predict not very many— well under 10%. Something like 40% have voted Republican in the past. https://t.co/e48WBekUoA,True,True,False,No comments.,2,False,4,False,False,13
48,"And thus we will rest on the Jews, and upon the earth.",True,True,False,Bot. Retweets parable.,3,False,2,False,False,13
49,"Whether she knows it or not, \North London metropolitan liberal elite\ is alt-right code - shit alt right code - for Jews. My mum was a refugee to this once tolerant country from Nazism. So this son of immigrants says - it's a short lecture - fuck off. https://t.co/bko0TT9OAW",True,True,False,No comments.,2,False,4,True,False,13
50,"@bonnie_rouge @CassandraRules I love Jewish women. Gal Gadot, Natalie Portman, etc.. So long as Jews are America First and not anti-White, then I love um!",True,True,False,No comments.,4,False,4,False,False,6
51,Israelis and Jews worldwide commemorate Yom HaShoah. Israelis and Jewish communities to remember victims of the Holocaust during Yom HaShoah; 2-minute siren to remember those murdered; Ceremony to be held at Yad Vashem with 6 Holocaust survivor’s accounts. https://t.co/1tPQ8gZO7K,True,True,False,No comments.,1,False,4,False,True,13
52,"@Matt_Stickney @nikitamjb @netanyahu I remember ,Someone said: God has chosen Trump to save the Jews \zionists\ society (or something like that)\nDo you believe it ?!\nI dont want to argue with u or anybody else on the base of religios.\nBC we are from diffrent religioses and cultures.\nWe can just argue on logic&amp;truth",True,True,False,Account has history of anti-Semitic comments legitmitizing terrorism..,4,False,4,False,False,7
53,Israel was built on the idea that Jews needed a safe haven in their ancestral homeland against mass slaughter. https://t.co/72BCNhKInm,True,True,False,No comments.,1,False,4,True,False,13
54,About to take off on a Kippah Solidarity Trip to Germany - it’s times like these when Jews need to double down on their pride. \n\nWill be broadcasting from Germany with my Kippah so that the message is clear: Jews are here and proud. https://t.co/uX30vPzNYB,True,True,False,No comments.,1,False,4,True,False,13
55,true friends to the Jews will condemn anti-Semitism whether it appears on the right or left. Bigotry is not partisan. https://t.co/QwBt5w2NtY,True,True,False,No comments.,2,False,4,True,False,13
56,"“If any leader referred to Jews the way Netanyahu regularly speaks about Arabs, it would be an international scandal,” Abu Much said in an interview. “Can you imagine [French President] Emmanuel Macron saying ‘The Jews are out to get you?’ ” https://t.co/TM3TGukmTf",True,True,False,No comments.,2,False,3,False,False,13
57,@MySportsUpdate @ConorOrr Raised by two jews in a rich community and he has that dialect lmao,True,True,True,No comments.,3,False,2,False,False,13
58,"@LevineJonathan If the gays are hating Jews, I think the Messiah will soon appear.",True,True,True,No comments.,2,False,4,True,False,13
59,ACT NOW! Stop California Imam from Teaching Students to Murder Jews! https://t.co/YpSPd6328J,True,True,False,No comments.,2,False,4,True,False,13
60,Poland Weighs Exhumations at Pogrom Site; Jews Object  https://t.co/6UN072UQ4E,True,True,False,No comments.,2,False,3,True,False,13
61,"I am MUSLIM.\nChristians kill me in Iraq.\nBuddhists kill me in Burma.\nJews kill me in Palestine.\nHindus kill me in Kashmir.\nAtheists kill me in New Zealand.\nBut still, I am the terrorist \n#NewZealandShooting #ChristchurchMosque",True,True,False,No comments.,5,False,2,False,False,11
62,"@Daniel_Sugarman “However, the trouble with Jews today is that they are now trying to get roots in a place which was for thousands of years inhabited by other people.” Zizek showing an enormous lack of historical awareness. Not much of a surprise as even now at 70, he is still a Marxist.",True,True,False,Tweet criticizes Zizek editorial.,2,False,4,True,False,13
63,Warning : Pakistan's state media have started frothing venom against Hindus and Jews. Govt of India should immediately call for population exchange between India and Pakistan. India has a moral right to demand safe passage for percecuted minorities in South Asia.,True,True,False,No comments.,2,False,4,True,False,13
